category,subcategory,name,description,url,price,image
jewelry,bracelet,Southwest Bracelet,"The Southwest Bracelet combines elegance with a touch of American Indian glamour. This jeweled bracelet is perfect for making a statement at any occasion, whether you're at a luncheon or an evening out. The bracelet is crafted from high-quality crystals and natural stones, offering a lightweight and comfortable fit. The bracelet is a sparkling accent, catching the light and adding a touch of style.  Pair this accessory with a chic white blouse and a tailored skirt for a polished look, or dress it down with jeans for an elevated everyday style.",/images/Southwest_Bracelet.jpg,169.99,/images/Southwest_Bracelet.jpg
jewelry,bracelet,Jeweled Bracelet Watch,"Introducing the Jeweled Bracelet Watch, a stylish accessory that combines elegance with a touch of glamour. This jeweled bracelet with watch is perfect for making a statement at any occasion, whether you're attending a fashion show or an evening out. The bracelet is crafted from high-quality white and saphire blue crystals, offering a lightweight and comfortable fit. The bracelet is a sparkling accent, catching the light and adding a touch of luxury.  Pair this accessory with a chic blouse and a tailored skirt for a polished look, or dress it down with a casual tee and jeans for a trendy, everyday style.",/images/Jeweled_Bracelet_Watch.jpg,259.99,/images/Jeweled_Bracelet_Watch.jpg
jewelry,bracelet,Isis Bracelet,"The Isis Bracelet add glamour to any outfit. This emerald jeweled bracelet is perfect for making a statement at any occasion, whether you're at a luncheon or an evening out. The bracelet is crafted from high-quality crystals, creating a sparkling accent, catching the light and adding a touch of glam.  Pair this accessory with a formal dress and heels for an elegant look.",/images/Isis_Bracelet.jpg,269.99,/images/Isis_Bracelet.jpg
jewelry,bracelet,Butterfly Mixed Metal Bracelet,"Introducing the Butterfly Mixed Metal Bracelet, a perfect blend of modern and chic sophistication. This bracelet is designed to add a touch of flair to your look, making it a versatile accessory for any occasion. The bracelet is crafted from bronze and metal with both a silver and gold tone. The silver and gold color combination adds a touch of sophistication and versatility.",/images/Butterfly_Mixed_Metal_Bracelet.jpg,89.99,/images/Butterfly_Mixed_Metal_Bracelet.jpg
jewelry,bracelet,Butterfly Gold Chain Bracelet,"Introducing the Butterfly Gold Chain Bracelet, is a delicate take on a classic design.  With a small butterfly and light gold chain, this bracelet is designed to add a touch of style to your look, making it a versatile accessory for any occasion. The bracelet is crafted from bronze with a gold tone and is suitable for young and old alike.",/images/Butterfly_Gold_Chain_Bracelet.jpg,59.99,/images/Butterfly_Gold_Chain_Bracelet.jpg
jewelry,bracelet,Beaded Bracelet Set,"This Beaded Bracelet Set can be worn separately as accents or together for a bold statement.  This bracelet set is perfect for making a statement at any occasion, whether you're at a luncheon, board meeting or an evening out. The bracelet is crafted from high-quality crystals, creating a sparkling accent, catching the light and adding a touch of glam.  Pair this accessory with a suit or dress and heels for an elegant look, or a blouse and jeans for a more casual style.",/images/Beaded_Bracelet_Set.jpg,89.99,/images/Beaded_Bracelet_Set.jpg
jewelry,earrings,Trendsetter Tortoise Shell Earrings,"The Trendsetter Tortoise Shell Earrings are a timeless accessory that combines classic elegance with modern style. These earrings feature a sleek, tortoise shell style that exudes timeless sophistication, making them perfect for a variety of occasions from casual outings to the office to evening events.  The earrings are crafted from high-quality acetate, ensuring durability and a comfortable fit. The subtle detailing and ergonomic design make these earrings a must-have addition to any stylish wardrobe.",/images/Trendsetter_Tortoise_Shell_Earrings.jpg,49.99,/images/Trendsetter_Tortoise_Shell_Earrings.jpg
jewelry,earrings,Snowdrop Floral Earrings,"The Snowdrop Floral Earrings are a charming blend of natural beauty and modern design, perfect for adding a touch of elegance to your summer wardrobe. These ivory snowdrop earrings are made from a lightweight and durable polamer that bring a touch of nature's charm, making them ideal for both casual outings and more formal events. Pair with a floral dress or jeans for a look that's both chic and comfortable.",/images/Snowdrop_Floral_Earrings.jpg,59.99,/images/Snowdrop_Floral_Earrings.jpg
jewelry,earrings,Rose Floral Earrings,"The Rose Floral Earrings are a charming blend of natural beauty and classic design, perfect for adding a touch of elegance to your summer wardrobe. These rose earrings are made from a lightweight and durable polamer that bring a touch of nature's charm, making them ideal for both casual outings and more formal events. Pair with a floral dress or jeans for a look that's both chic and comfortable.",/images/Rose_Floral_Earrings.jpg,59.99,/images/Rose_Floral_Earrings.jpg
jewelry,earrings,Gardenia Floral Earrings,"The Gardenia Floral Earrings are a charming blend of natural beauty and modern design, perfect for adding a touch of elegance to your summer wardrobe. These gardenia earrings are made from a lightweight and durable polamer that bring a touch of nature's charm, making them ideal for both casual outings and more formal events. Pair with a floral dress or jeans for a look that's both chic and comfortable.",/images/Gardenia_Floral_Earrings.jpg,59.99,/images/Gardenia_Floral_Earrings.jpg
jewelry,earrings,Dazzling Diamond Drop Earrings,"The Dazzling Diamond Drop Earrings are a classic accessory to any wardrobe, combining sleek modern design with a touch of glamour. These crystal earrings feature a minimalist design and titanium hypoalergenic posts. The earrings add a luxurious touch that catches the light and draws the eye. The earrings are made from high-quality crystal and gold toned, providing excellent light reflection. Whether you're headed to an outdoor event or a night out on the town, the Dazzling Diamond Drop Earrings are the perfect accessory to elevate your ensemble.",/images/Dazzling_Diamond_Drop_Earrings.jpg,69.99,/images/Dazzling_Diamond_Drop_Earrings.jpg
jewelry,earrings,Bella Breeze Hoops,"The Bella Breeze Hoops are stylish and functional earrings, designed to make a fashion statement. These earrings offer a sleek, modern look perfect for a variety of occasions, from casual outings to more formal events, and come in a timeless gold color that pairs well with any outfit. The flexible hinges ensure a comfortable fit, while the lightweight design makes them easy to wear all day long.",/images/Bella_Breeze_Hoops.jpg,39.99,/images/Bella_Breeze_Hoops.jpg
jewelry,earrings,Havana Gold Earrings,"The Havana Gold Earrings are a charming modern design, perfect for adding a touch of elegance to your summer wardrobe. These 18kt gold vermeille drop earrings are ideal for both casual outings, the office and even more formal events. Pair with a summer dress or pant suit for a look that's both chic and comfortable.",/images/Havana_Gold_Earrings.jpg,79.99,/images/Havana_Gold_Earrings.jpg
jewelry,bracelet,Classic Bead Bracelet,This Classic Bead Bracelet is the perfect casual accent. The bracelet is crafted from high-quality natural stones with accent gold tone rondels catching the light and adding a touch of glam.  Pair this accessory with a white txhirt and jeans for a more casual style.,/images/Classic_Bead_Bracelet.jpg,69.99,/images/Classic_Bead_Bracelet.jpg
jewelry,necklace,Multi-strand Accent Necklace,This Multi-strand Accent Necklace is wonderful for creating a layering effect.  The necklace is crafted from high-quality natural stones with accent gold tone on brass catching the light and adding trendy glamor to any outfit.  Pair this accessory with a white tshirt and jeans for a more casual style or wear it with a strappy dress and heels for a sophisticated statement.,/images/Multi-strand_Accent_Necklace.jpg,149.99,/images/Multi-strand_Accent_Necklace.jpg
jewelry,necklace,Southwest Turquoise Necklace,This Southwest Turquoise Necklace is wonderful for creating a bohemian layered look.  The necklace is crafted from high-quality natural stones and brass for a earthy vibe.  Pair this accessory with a white tshirt and jeans for a more casual style or wear it with a sundress and heels for a sophisticated statement.,/images/Southwest_Turquoise_Necklace.jpg,129.99,/images/Southwest_Turquoise_Necklace.jpg
jewelry,necklace,Floral Choker Necklace,"This Floral Choker Necklace is wonderful for creating a fresh feminine look.  The necklace is crafted from high-quality, light resin for a marvelous, confident look.  Pair this accessory with a white tshirt and jeans for a more casual style or wear it with a sundress and heels for a sophisticated statement.",/images/Floral_Choker_Necklace.jpg,129.99,/images/Floral_Choker_Necklace.jpg
jewelry,necklace,Solo Pearl Necklace,This Solo Pearl Necklace is both classic and edgy.  The necklace has a classicly elegant single creme pearl hung from a trendy black crystal necklace to create a versatile look that exudes individualism and confidence.  Pair this accessory with a white tshirt and jeans for a more casual style or wear it with a suit and heels for a sophisticated statement.,/images/Solo_Pearl_Necklace.jpg,109.99,/images/Solo_Pearl_Necklace.jpg
jewelry,bracelet,Pearl Bracelet,"This Pearl Bracelet is a classic accent to any outfit.  Wear it singularly for a subtle statement or have multiple to create a stacked, bold look.  This pearl bracelet is perfect for making a subtle statement at any occasion, whether you're at a lunch with friends, a board meeting or an evening out. The bracelet is crafted from high-quality water pearls, creating a warm, subtle accent, catching the light and adding a touch of glam.  Pair this accessory with a suit or dress and heels for an elegant look, or a t-shirt and jeans for a more casual style.",/images/Pearl_Bracelet.jpg,49.99,/images/Pearl_Bracelet.jpg
jewelry,necklace,Amber Bead Necklace,This Amber Bead Necklace is wonderful for creating a classic layered look.  The necklace is crafted from natural amber and gold toned metal.  Pair this accessory with a white tshirt and jeans for a more casual style or wear it with a sundress and heels for a sophisticated statement.,/images/Amber_Bead_Necklace.jpg,49.99,/images/Amber_Bead_Necklace.jpg
apparel,dress,Pastel Pink Peasant Dress,"Elevate your casual wear with the Pastel Pink Peasant Dress. This dress combines the comfort and charm of a peasant blouse with a flowing silhouette, making it perfect for a day at the park or a laid-back lunch date. Featuring a relaxed fit, it has delicate smocking at the bust for a touch of elegance and ruffled sleeves that add a playful, whimsical flair. The dress is crafted from soft, breathable cotton, ensuring a comfortable and flattering fit all day long. The A-line skirt flows gracefully, creating a classic yet modern look that suits all body types. Whether you're pairing it with sandals and a wide-brimmed hat or dressy sandals and a statement necklace, this dress is a versatile addition to your wardrobe.",/images/Pastel_Pink_Peasant_Dress.jpg,119.99,/images/Pastel_Pink_Peasant_Dress.jpg
footwear,shoes,Kiss Me High Heel Sandals,"Kiss Me High Heel Sandals are a perfect blend of elegance and comfort, designed to add a touch of sophistication to any ensemble. These stylish sandals feature a sleek, closed-toe design with a modern twist, making them a versatile choice for both casual outings and formal events. The striking red color provides a bold pop of style, while the 3-inch heel offers a comfortable and stylish lift. The sandals are crafted from high-quality leather, ensuring durability and a luxurious feel. The adjustable straps allow for a personalized fit, making them perfect for all-day wear. Whether paired with a sundress and sunglasses or dressed up with a pencil skirt and blazer, these Kiss Me High Heel Sandals are sure to turn heads.",/images/Kiss_Me_High_Heel_Sandals.jpg,159.99,/images/Kiss_Me_High_Heel_Sandals.jpg
apparel,skirt,Ultra Soft Velvet Skirt,"Introducing the Ultra Soft Velvet Skirt, a luxurious addition to any wardrobe that exudes elegance and sophistication. This knee-length skirt is crafted from premium velvet, providing a rich, velvety texture that feels sumptuous against the skin. The skirt features a classic A-line silhouette that flatters the figure, offering a graceful and flowing look. The high waistband adds a touch of modernity and comfort, while the subtle sheen of the velvet gives it a sophisticated edge.

Perfect for both casual and formal occasions, this skirt can be dressed up with a blouse and heels for a polished look, or paired with a sweater and boots for a more relaxed, everyday ensemble. Its versatile design ensures it will remain a favorite in your wardrobe for years to come.",/images/Ultra_Soft_Velvet_Skirt.jpg,149.99,/images/Ultra_Soft_Velvet_Skirt.jpg
footwear,shoes,Polished Pearl Pumps,"Polished Pearl Pumps are a sophisticated blend of elegance and comfort, perfect for adding a touch of luxury to your footwear collection. These heeled shoes feature a stylish pearl-embellished front, providing a classic and refined design. The sleek black color ensures they pair well with a wide range of outfits, making them versatile for both casual outings and formal events. With a heel height of 3 inches, these pumps offer a comfortable and stylish silhouette, supported by a lightweight and flexible SBS sole. The open-back design allows for easy slip-on and off, making them convenient for daily wear. The 100% polyurethane lining adds a smooth and breathable layer, enhancing overall comfort and maintaining a cool interior. The vibrant pearl accents add a touch of sparkle, making these pumps a timeless addition to your footwear collection.",/images/Polished_Pearl_Pumps.jpg,119.99,/images/Polished_Pearl_Pumps.jpg
accessories,bag,Fusion Leather Crossbody Bag,"The Fusion Leather Crossbody Bag combines modern simplicity with timeless elegance, making it a perfect companion for any occasion. This versatile crossbody bag features a sleek, minimalist design with a compact size, ideal for everyday use while maintaining a sophisticated look. The bag is crafted from high-quality leather, offering durability and a luxurious feel. The adjustable shoulder strap allows for a comfortable fit, whether you're carrying it by hand or slung over your shoulder. Inside, the bag is organized with two main compartments and multiple pockets, including a zippered section for added security. Measuring 13 inches in height, 11 inches in width, and 2 inches in depth, this crossbody bag provides ample space for your essentials without feeling bulky. Pair it with anything from a casual t-shirt and jeans to a tailored suit for a polished appearance.",/images/Fusion_Leather_Crossbody_Bag.jpg,109.99,/images/Fusion_Leather_Crossbody_Bag.jpg
accessories,sunglasses,Xenial Aviator Sunglasses,"The Xenial Aviator Sunglasses are a stylish and timeless addition to any woman's accessory collection. These sunglasses combine classic aviator styling with modern comfort and a touch of sophistication. The frames are crafted from lightweight, durable aluminum, ensuring a sleek and stylish look without the weight. The lenses are made from high-quality polarized glass, providing excellent UV protection and reducing glare for clear vision in all lighting conditions. The subtle metallic finish on the frames adds a touch of elegance, making these sunglasses a versatile accessory that can be worn for both casual outings and more formal events. The adjustable nose pads and temples ensure a comfortable fit, making them perfect for all-day wear.",/images/Xenial_Aviator_Sunglasses.jpg,39.99,/images/Xenial_Aviator_Sunglasses.jpg
footwear,shoes,Opulent Velvet Ballet Flats,"The Opulent Velvet Ballet Flats are a luxurious blend of comfort and sophistication, perfect for adding a touch of elegance to your footwear collection. These ballet flats feature a plush velvet upper that provides a soft and luxurious feel, making them perfect for long days and special occasions alike. The low-profile design ensures all-day comfort without sacrificing style, while the subtle shine of the velvet adds a touch of sophistication. The sole is crafted from high-quality rubber, offering excellent grip and durability. The sleek, closed-toe design complements any outfit, from casual wear to formal events. Pair them with jeans and a blouse for a chic daytime look, or style them with a dress for a sophisticated evening ensemble. Their timeless design makes them a versatile addition to your footwear collection.",/images/Opulent_Velvet_Ballet_Flats.jpg,159.99,/images/Opulent_Velvet_Ballet_Flats.jpg
apparel,skirt,Ivy Leaf Embroidered Skirt,"Introducing the Ivy Leaf Embroidered Skirt, a blend of classic charm and modern elegance. This elegant skirt features a vibrant ivy leaf embroidery that adds a touch of nature and sophistication to your outfit. The skirt is crafted from a luxurious blend of 60% cotton and 40% rayon, offering a soft and smooth texture that feels comfortable against the skin. The A-line silhouette flatters all body types, gently skimming over the hips and creating a balanced, graceful look. Perfect for both casual outings and more formal events, this skirt can be dressed up or down depending on the occasion. Pair it with a blouse and heels for a polished look or a casual top and sneakers for a more relaxed vibe.",/images/Ivy_Leaf_Embroidered_Skirt.jpg,189.99,/images/Ivy_Leaf_Embroidered_Skirt.jpg
